"A-1.2";"arabica nestle 1.2"
"R-G1 STD WP TYPE B";"Rob G1 STD WP Type B"
"R-G2 STD LG";"Rob low graded grade 2"
"R-G3 3% DECAF";"Robusta grade 3 3% fm decafein"
"R-G3-20-1";"Grade 3-20.0%BB-1%FM"
"R-G3-25-3";"Grade 3-25.0%BB-3%FM"
"R-G3-25-5";"Grade 3-25%BB-5%FM"
"R-G3-35-7";"Grade 3-35%BB-7%FM - 90%>S11"
"R-GS G1";"Robusta gravity grade 1"
"R-GS G1 T1";"robusta gravty grade 1 type 1"
"R-GS G2";"Rob gravity grade 2"
"R-GS G2 T1";"Rob gravity grade 2 type 1"
"R-HB";"Hulled beans"
"R-HUSK";"Husks"
"R-PC";"Rejects from PC."
"R-PD";"Peaberries&Dried fruits"
"R-REJECT T2";"Rob gravity rejected type 2"
"R-SB G1";"Rob super black grade 1"
"R-SB G2";"Rob super black grade 2"
"R-STO";"Stone"
"R-SW";"Sweepings"
"R-SW LG";"Rob swepping low grade"
"R-U12";"Under SC12"
"R-U12 T1";"Under SC12 T1"
